pat1,pat2,features (n),distance,,,,,
P19,P59,80,0.033751095,,,,,
P19,P59,100,0.036287495,,,,,
P19,P59,110,0.040500087,,,,,
P19,P62,5,0.021542243,,,,,
P19,P62,10,0.023714299,,,,,
P19,P62,15,0.028544049,,,,,
P19,P62,20,0.028710061,,,,,
P19,P62,25,0.028502569,,,,,
P19,P62,30,0.028954266,,,,,
P19,P62,40,0.032535557,,,,,
P19,P62,50,0.035889496,,,,,
P19,P62,60,0.04093982,,,,,
P19,P62,80,0.050162516,,,,,
P19,P62,100,0.062671441,,,,,
P19,P62,110,0.066231513,,,,,
P19,P67,5,0.022484261,,,,,
P19,P67,10,0.019920881,,,,,
P19,P67,15,0.022732533,,,,,
P19,P67,20,0.026175388,,,,,
P19,P67,25,0.025464886,,,,,
P19,P67,30,0.024612678,,,,,
P19,P67,40,0.02727528,,,,,
P19,P67,50,0.030384708,,,,,
P19,P67,60,0.033997978,,,,,
P19,P67,80,0.035443368,,,,,
P19,P67,100,0.050398564,,,,,
P19,P67,110,0.051776576,,,,,
P19,P68,5,0.021688104,,,,,
P19,P68,10,0.016951057,,,,,
P19,P68,15,0.015734553,,,,,
P19,P68,20,0.018882035,,,,,
P19,P68,25,0.019891966,,,,,
P19,P68,30,0.022793454,,,,,
P19,P68,40,0.027487734,,,,,
P19,P68,50,0.030005964,,,,,
P19,P68,60,0.034753746,,,,,
P19,P68,80,0.041346986,,,,,
P19,P68,100,0.045583256,,,,,
P19,P68,110,0.048880773,,,,,
P19,P71,5,0.024656183,,,,,
P19,P71,10,0.019873529,,,,,
P19,P71,15,0.018864038,,,,,
P19,P71,20,0.019443444,,,,,
P19,P71,25,0.019571819,,,,,
P19,P71,30,0.0199076,,,,,
P19,P71,40,0.021500613,,,,,
P19,P71,50,0.025911228,,,,,
P19,P71,60,0.028608832,,,,,
P19,P71,80,0.034232884,,,,,
P19,P71,100,0.03789808,,,,,
P19,P71,110,0.040508023,,,,,
P19,P82,5,0.021118326,,,,,
P19,P82,10,0.017621743,,,,,
P19,P82,15,0.023766502,,,,,
P19,P82,20,0.024777682,,,,,
P19,P82,25,0.026514056,,,,,
P19,P82,30,0.02758784,,,,,
P19,P82,40,0.029770781,,,,,
P19,P82,50,0.033411734,,,,,
P19,P82,60,0.039278363,,,,,
P19,P82,80,0.047577536,,,,,
P19,P82,100,0.05639617,,,,,
P19,P82,110,0.060433879,,,,,
P19,P88,5,0.022208927,,,,,
P19,P88,10,0.018727339,,,,,
P19,P88,15,0.018995752,,,,,
P19,P88,20,0.018807404,,,,,
P19,P88,25,0.0191922,,,,,
P19,P88,30,0.019629303,,,,,
P19,P88,40,0.020760386,,,,,
P19,P88,50,0.022702093,,,,,
P19,P88,60,0.027664949,,,,,
P19,P88,80,0.034007026,,,,,
P19,P88,100,0.038032462,,,,,
P19,P88,110,0.04239866,,,,,
P19,P92,5,0.01980879,,,,,
P19,P92,10,0.019703916,,,,,
P19,P92,15,0.020235632,,,,,
P19,P92,20,0.021267606,,,,,
P19,P92,25,0.021817902,,,,,
P19,P92,30,0.021039286,,,,,
P19,P92,40,0.02345106,,,,,
P19,P92,50,0.026429346,,,,,
P19,P92,60,0.028595781,,,,,
P19,P92,80,0.036134371,,,,,
P19,P92,100,0.040434971,,,,,
P19,P92,110,0.043567337,,,,,
P24,P1,5,0.048377047,,,,,
P24,P1,10,0.060214775,,,,,
P24,P1,15,0.061946745,,,,,
P24,P1,20,0.06425376,,,,,
P24,P1,25,0.067847697,,,,,
P24,P1,30,0.075676916,,,,,
P24,P1,40,0.083384151,,,,,
P24,P1,50,0.090244092,,,,,
P24,P1,60,0.09023273,,,,,
P24,P1,80,0.088430525,,,,,
P24,P1,100,0.085711294,,,,,
P24,P1,110,0.094920912,,,,,
P24,P19,5,0.028078955,,,,,
P24,P19,10,0.023269036,,,,,
P24,P19,15,0.022723745,,,,,
P24,P19,20,0.024602996,,,,,
P24,P19,25,0.022890365,,,,,
P24,P19,30,0.023352937,,,,,
P24,P19,40,0.026044729,,,,,
P24,P19,50,0.029827122,,,,,
P24,P19,60,0.032512907,,,,,
P24,P19,80,0.036185923,,,,,
P24,P19,100,0.046571555,,,,,
P24,P19,110,0.050787379,,,,,
P24,P24,5,0,,,,,
P24,P24,10,0,,,,,
P24,P24,15,0,,,,,
P24,P24,20,0,,,,,
P24,P24,25,0,,,,,
P24,P24,30,0,,,,,
P24,P24,40,0,,,,,
P24,P24,50,0,,,,,
P24,P24,60,0,,,,,
P24,P24,80,0,,,,,
P24,P24,100,0,,,,,
P24,P24,110,0,,,,,
P24,P26,5,0.015870834,,,,,
P24,P26,10,0.011095962,,,,,
P24,P26,15,0.012990778,,,,,
P24,P26,20,0.01292104,,,,,
P24,P26,25,0.014190065,,,,,
P24,P26,30,0.018903859,,,,,
P24,P26,40,0.027770947,,,,,
P24,P26,50,0.033605316,,,,,
P24,P26,60,0.037309017,,,,,
P24,P26,80,0.042589522,,,,,
P24,P26,100,0.046282344,,,,,
P24,P26,110,0.049813523,,,,,
P24,P51,5,0.021301149,,,,,
P24,P51,10,0.030724315,,,,,
P24,P51,15,0.034140032,,,,,
P24,P51,20,0.035227441,,,,,
P24,P51,25,0.034130917,,,,,
P24,P51,30,0.035228208,,,,,
P24,P51,40,0.036494321,,,,,
P24,P51,50,0.040178715,,,,,
P24,P51,60,0.043346198,,,,,
P24,P51,80,0.050426467,,,,,
P24,P51,100,0.055900445,,,,,
P24,P51,110,0.060045967,,,,,
P24,P56,5,0.016308027,,,,,
P24,P56,10,0.016095036,,,,,
P24,P56,15,0.015387596,,,,,
P24,P56,20,0.014208444,,,,,
P24,P56,25,0.014705659,,,,,
P24,P56,30,0.016608737,,,,,
P24,P56,40,0.020102781,,,,,
P24,P56,50,0.022230756,,,,,
P24,P56,60,0.02807891,,,,,
P24,P56,80,0.031221569,,,,,
P24,P56,100,0.036329983,,,,,
P24,P56,110,0.03930941,,,,,
P24,P61,5,0.025175285,,,,,
P24,P61,10,0.023196744,,,,,
P24,P61,15,0.023870614,,,,,
P24,P61,20,0.023842314,,,,,
P24,P61,25,0.024812586,,,,,
P24,P61,30,0.028020385,,,,,
P24,P61,40,0.034642453,,,,,
P24,P61,50,0.039577902,,,,,
P24,P61,60,0.043579285,,,,,
P24,P61,80,0.04449099,,,,,
P24,P61,100,0.048077881,,,,,
P24,P61,110,0.050557665,,,,,
P24,P66,5,0.025682679,,,,,
P24,P66,10,0.021237697,,,,,
P24,P66,15,0.021999748,,,,,
P24,P66,20,0.02180207,,,,,
P24,P66,25,0.022548778,,,,,
P24,P66,30,0.02477133,,,,,
P24,P66,40,0.029200108,,,,,
P24,P66,50,0.034920298,,,,,
P24,P66,60,0.038991481,,,,,
P24,P66,80,0.045333995,,,,,
P24,P66,100,0.053122349,,,,,
P24,P66,110,0.06193823,,,,,
P24,P76,5,0.016303023,,,,,
P24,P76,10,0.014268993,,,,,
P24,P76,15,0.015157223,,,,,
P24,P76,20,0.015668569,,,,,
P24,P76,25,0.017456793,,,,,
P24,P76,30,0.019929101,,,,,
P24,P76,40,0.022195044,,,,,
P24,P76,50,0.02681721,,,,,
P24,P76,60,0.028647758,,,,,
P24,P76,80,0.038491588,,,,,
P24,P76,100,0.045938222,,,,,
P24,P76,110,0.052131533,,,,,
P24,P95,5,0.018912575,,,,,
P24,P95,10,0.01903139,,,,,
P24,P95,15,0.021928399,,,,,
P24,P95,20,0.023544416,,,,,
P24,P95,25,0.024635549,,,,,
P24,P95,30,0.025594699,,,,,
P24,P95,40,0.029255109,,,,,
P24,P95,50,0.031925445,,,,,
P24,P95,60,0.034727127,,,,,
P24,P95,80,0.038285574,,,,,
P24,P95,100,0.043719245,,,,,
P24,P95,110,0.047106378,,,,,
P24,P27,5,0.015194084,,,,,
P24,P27,10,0.015758785,,,,,
P24,P27,15,0.016396209,,,,,
P24,P27,20,0.01804248,,,,,
P24,P27,25,0.01903969,,,,,
P24,P27,30,0.020000674,,,,,
P24,P27,40,0.025335648,,,,,
P24,P27,50,0.032068808,,,,,
P24,P27,60,0.032518207,,,,,
P24,P27,80,0.035484607,,,,,
P24,P27,100,0.038288226,,,,,
P24,P27,110,0.043819268,,,,,
P24,P32,5,0.014977115,,,,,
P24,P32,10,0.020085331,,,,,
P24,P32,15,0.019770676,,,,,
P24,P32,20,0.020816671,,,,,
P24,P32,25,0.022359007,,,,,
P24,P32,30,0.020601055,,,,,
P24,P32,40,0.025601952,,,,,
P24,P32,50,0.032625147,,,,,
P24,P32,60,0.035677759,,,,,
P24,P32,80,0.038776176,,,,,
P24,P32,100,0.042042853,,,,,
P24,P32,110,0.044400509,,,,,
P24,P39,5,0.019632751,,,,,
P24,P39,10,0.015350079,,,,,
P24,P39,15,0.016469487,,,,,
P24,P39,20,0.014831793,,,,,
P24,P39,25,0.017730059,,,,,
P24,P39,30,0.019671229,,,,,
P24,P39,40,0.025048441,,,,,
P24,P39,50,0.026392075,,,,,
P24,P39,60,0.029328275,,,,,
P24,P39,80,0.033247471,,,,,
P24,P39,100,0.037930778,,,,,
P24,P39,110,0.041491677,,,,,
P24,P58,5,0.018523817,,,,,
P24,P58,10,0.015473164,,,,,
P24,P58,15,0.013263437,,,,,
P24,P58,20,0.013819716,,,,,
P24,P58,25,0.014847667,,,,,
P24,P58,30,0.017337034,,,,,
P24,P58,40,0.021510874,,,,,
P24,P58,50,0.026726519,,,,,
P24,P58,60,0.028552459,,,,,
P24,P58,80,0.033663972,,,,,
P24,P58,100,0.041590122,,,,,
P24,P58,110,0.045730386,,,,,
P24,P59,5,0.02342559,,,,,
P24,P59,10,0.024585965,,,,,
P24,P59,15,0.025597305,,,,,
P24,P59,20,0.025093425,,,,,
P24,P59,25,0.027922651,,,,,
P24,P59,30,0.030150693,,,,,
P24,P59,40,0.035058735,,,,,
P24,P59,50,0.037865001,,,,,
P24,P59,60,0.039769695,,,,,
P24,P59,80,0.046887166,,,,,
P24,P59,100,0.055279086,,,,,
P24,P59,110,0.058102608,,,,,
P24,P62,5,0.013952449,,,,,
P24,P62,10,0.015695875,,,,,
P24,P62,15,0.019116397,,,,,
P24,P62,20,0.022394635,,,,,
P24,P62,25,0.021410974,,,,,
P24,P62,30,0.023532422,,,,,
P24,P62,40,0.028736049,,,,,
P24,P62,50,0.033698957,,,,,
P24,P62,60,0.037823039,,,,,
P24,P62,80,0.047024012,,,,,
P24,P62,100,0.051749086,,,,,
P24,P62,110,0.056171397,,,,,
P24,P67,5,0.011775408,,,,,
P24,P67,10,0.015979063,,,,,
P24,P67,15,0.017456058,,,,,
P24,P67,20,0.020269547,,,,,
P24,P67,25,0.021239451,,,,,
P24,P67,30,0.023891563,,,,,
P24,P67,40,0.025503017,,,,,
